,k,h,finalEquity
61,0.009499999999999998,0.031,121.31333541852267
59,0.009199999999999998,0.031,121.31333541852267
49,0.0076999999999999985,0.031,121.10634103968903
33,0.005299999999999999,0.031,120.98754046164166
47,0.007399999999999999,0.031,120.56415771008467
51,0.007999999999999998,0.031,118.9202890298182
25,0.0040999999999999995,0.031,114.5147430334946
27,0.004399999999999999,0.031,114.5147430334946
29,0.004699999999999999,0.031,112.36825378269826
31,0.004999999999999999,0.031,112.36825378269826
35,0.005599999999999999,0.031,111.92987523913251
37,0.005899999999999999,0.031,109.86360224048428
39,0.006199999999999999,0.031,109.86360224048428
53,0.008299999999999998,0.031,109.6353640890916
55,0.008599999999999998,0.031,109.6353640890916
41,0.006499999999999999,0.031,108.09770045234504
43,0.006799999999999999,0.031,108.09770045234504
21,0.003499999999999999,0.031,106.41693615709478
45,0.007099999999999999,0.031,105.47469786127701
63,0.009799999999999998,0.031,105.32482937775053
23,0.003799999999999999,0.031,104.95167101920362
57,0.008899999999999998,0.031,104.83129333115433
3,0.0007999999999999999,0.031,98.16861050133306
7,0.0013999999999999998,0.031,97.36931914815041
5,0.0010999999999999998,0.031,95.98011615208294
19,0.0031999999999999993,0.031,91.83686327620056
9,0.0016999999999999997,0.031,89.74637383469808
11,0.0019999999999999996,0.031,87.44241655240906
1,0.0005,0.031,86.8913636069435
13,0.0022999999999999995,0.031,86.55829362999555
15,0.0025999999999999994,0.031,85.11111941666775
17,0.0028999999999999994,0.031,85.11111941666775
56,0.008899999999999998,0.001,40.560235291656426
44,0.007099999999999999,0.001,38.920284059598686
58,0.009199999999999998,0.001,38.83316074610607
46,0.007399999999999999,0.001,38.55257951076894
54,0.008599999999999998,0.001,37.882489522055046
52,0.008299999999999998,0.001,37.441536875328374
60,0.009499999999999998,0.001,36.97910193467916
62,0.009799999999999998,0.001,36.41182652647953
42,0.006799999999999999,0.001,35.475021494134225
40,0.006499999999999999,0.001,33.54186457890116
48,0.0076999999999999985,0.001,33.31442998576846
50,0.007999999999999998,0.001,32.98524434580157
36,0.005899999999999999,0.001,32.58084348437775
38,0.006199999999999999,0.001,32.15147808623858
34,0.005599999999999999,0.001,30.969432266855094
28,0.004699999999999999,0.001,25.643835361918068
30,0.004999999999999999,0.001,25.114576540522712
32,0.005299999999999999,0.001,23.74192692020645
24,0.0040999999999999995,0.001,22.19396335476324
26,0.004399999999999999,0.001,21.32024291241743
22,0.003799999999999999,0.001,19.627271815662784
20,0.003499999999999999,0.001,17.353381524913367
18,0.0031999999999999993,0.001,14.041860508794302
16,0.0028999999999999994,0.001,13.184421908642797
14,0.0025999999999999994,0.001,9.644478819287919
12,0.0022999999999999995,0.001,8.621272567871658
10,0.0019999999999999996,0.001,7.474713372178796
8,0.0016999999999999997,0.001,5.920760029774444
6,0.0013999999999999998,0.001,5.337962321365872
4,0.0010999999999999998,0.001,4.898865080818666
2,0.0007999999999999999,0.001,4.523528825482758
0,0.0005,0.001,4.092561513827384
